variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,Transformation,,,,,,,,,,
HUPDPAD_cat3_C,"predictor, missing-desc-table",Centered Dummy HUI pain: pain prevents a few activities,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i",DerivedVar::[HUPDPAD],,,,,,,,,,,,
HUPDPAD_cat4_C,"predictor, missing-desc-table",Centered Dummy HUI pain: pain prevents some activities,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i",DerivedVar::[HUPDPAD],,,,,,,,,,,,
HUPDPAD_cat5_C,"predictor, missing-desc-table",Centered Dummy HUI pain: pain prevents most activities,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i",DerivedVar::[HUPDPAD],,,,,,,,,,,,
INCDHH,imputation-variable,Household income,Total household income from all sources - continuous,Sociodemographics,Income,Continuous,$/year,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i","cchs2001_p::INCAGHH, cchs2003_p::INCCGHH, cchs2005_p::INCEGHH, cchs2015_2016_p::INCDGHH, cchs2017_2018_p::INCDGHH, cchs2009_s::INCDHH, cchs2010_s::INCDHH, cchs2012_s::INCDHH, [INCGHH]",,,,,,,,,,,,
INCDRCA,"intermediate, imputation-variable",Household income distribution,Household income distribution,Sociodemographics,Income,Categorical,N/A,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i",DerivedVar::[INCDRCA],,,,,,,,,,,,
INCDRCA_cat2,indermediate,"Dummy household income distribution, decile 2","Dummy household income distribution, decile 2",Sociodemographics,Income,Categorical,N/A,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i",DerivedVar::[INCDRCA],,,,,,,,,,,,
INCDRCA_cat3,indermediate,"Dummy household income distribution, decile 3","Dummy household income distribution, decile 3",Sociodemographics,Income,Categorical,N/A,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i",DerivedVar::[INCDRCA],,,,,,,,,,,,
INCDRCA_cat2_C,predictor,"Centered Dummy household income distribution, decile 2","Centered Dummy household income distribution, decile 2",Sociodemographics,Income,Categorical,N/A,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i",DerivedVar::[INCDRCA],,,,,,,,,,,,
INCDRCA_cat3_C,predictor,"Centered Dummy household income distribution, decile 3","Centered Dummy household income distribution, decile 3",Sociodemographics,Income,Categorical,N/A,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i",DerivedVar::[INCDRCA],,,,,,,,,,,,
number_conditions,imputation-variable,Number of conditions,Number of chronic conditions,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[CCC_121, CCC_131, CCC_151, CCC_171, resp_condition_der, CCC_051], DerivedVar::[CCC_121, CCC_131, CCC_151, CCC_171, CCC_280, resp_condition_der, CCC_051]",,,,,,,,,,,,
IDGFLA,intermediate,Illicit drug use-ever,Illicit drug use-ever,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2003_p::IDGCFLA, cchs2005_p::IDGEFLA, cchs2015_2016_p::DRGDVLA, cchs2017_2018::DRGDVLA, cchs2015_2016_i::DRGDVLA, cchs2017_2018_i::DRGDVLA, [IDGFLA]","This is an optional item in CCHS. In 2007-2008, the module was available to respondents from nova scotia and BC. In 2011-2012 cycles, respondents from Ontario Saskatchewan and Nunavut completed the questionaire. In the annual component of the 2013 cycle, Nunavut, New Brunswick, NFL, and BC were included. In 2014, Nunavut, NFL, and BC respondents completed this questionaire. In the 2015-2016 cycles, respondents from Ontario, Alberta, Yukon, and Nunavut respondents completed this questionaire. In 2017-2018 cycles, NB, ON, MAN, YU, and NWT are included.",,,,,,,,,,,
IDGFLA_cat1,intermediate,Dummy illicit drug use-ever variable: Yes,Dummy illicit drug use-ever variable: Yes,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[IDGFLA],,"dummy[1,2]",,,,,,,,,,
IDGFLA_cat1_C,predictor,Centered ummy illicit drug use-ever variable: Yes,Centered ummy illicit drug use-ever variable: Yes,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[IDGFLA],,"center[IDFLA, mean]",,,,,,,,,,
IDGFLAC,intermediate,Illicit drug use- ever (exclude one time cannabis),Illicit drug use- ever (exclude one time cannabis),Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2003_p::IDGCFLAC, cchs2005_p::IDGEFLAC, cchs2015_2016_p::DRGDVLAC, cchs2017_2018::DRGDVLAC, cchs2015_2016_i::DRGDVLAC, cchs2017_2018_i::DRGDVLAC, [IDGFLAC]",,,,,,,,,,,,
IDGFLAC_cat1,intermediate,Dummy Illicit drug use- ever (exclude one time cannabis): Yes,Dummy Illicit drug use- ever (exclude one time cannabis): Yes,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[IDGFLAC],,"dummy[1,2]",,,,,,,,,,
IDGFLAC_cat1_C,predictor,Centered dummy Illicit drug use- ever (exclude one time cannabis): Yes,Centered dummy Illicit drug use- ever (exclude one time cannabis): Yes,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[IDGFLAC],,"center[IDGFLAC, mean]",,,,,,,,,,
IDGFYA,intermediate,Illicit drug use- 12 mo,Illicit drug use- 12 mo,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2003_p::IDGCFYA, cchs2005_p::IDGEFYA, cchs2015_2016_p::DRGDVYA, cchs2017_2018::DRGDVYA, cchs2015_2016_i::DRGDVYA, cchs2017_2018_i::DRGDVYA, [IDGFYA]",,,,,,,,,,,,
IDGFYA_cat1,intermediate,Dummy illicit drug use- 12 mo: Yes,Dummy illicit drug use- 12 mo: Yes,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[IDGFYA],,"dummy[1,2]",,,,,,,,,,
IDGFYA_cat1_C,predictor,Centered dummy Illicit drug use- 12 mo: Yes,Centered dummy Illicit drug use- 12 mo: Yes,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[IDGFYA],,"center[IDGFYA, mean]",,,,,,,,,,
IDGFYAC,intermediate,Illicit drug use- 12 (excluding one time cannabis),Illicit drug use- 12 (excluding one time cannabis),Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2003_p::IDGCFYAC, cchs2005_p::IDGEFYAC, cchs2015_2016_p::DRGDVYAC, cchs2017_2018::DRGDVYAC, cchs2015_2016_i::DRGDVYAC, cchs2017_2018_i::DRGDVYAC, [IDGFYAC]",,,,,,,,,,,,
IDGFYAC_cat1,intermediate,Dummy illicit drug use- 12 (excluding one time cannabis): Yes,Dummy illicit drug use- 12 (excluding one time cannabis): Yes,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[IDGFYAC],,"dummy[1,2]",,,,,,,,,,
IDGFYAC_cat1_C,predictor,Centered dummy illicit drug use- 12 (excluding one time cannabis): Yes,Centered dummy illicit drug use- 12 (excluding one time cannabis): Yes,Health behaviour,Drug Use,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[IDGFYAC],,"center[IDGFYAC, mean]",,,,,,,,,,
LBFCDWSS,predictor,working status,Working status last week,Sociodemographics,Occupation,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::, cchs2003_p::HUICDPAD, cchs2005_p::HUIEDPAD, cchs2015_2016_p::HUIDVPAD, [HUPDPAD]",,,,,,,,,,,,
SDCGCGT,"intermdiate, table-1-a, imputation-variable",Ethnicity,"Cultural or racial origin - (D, G)",Sociodemographics,Ethnicity,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_i, cchs2005_i,  cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SDCAGRAC, cchs2003_p::SDCCGRAC, cchs2005_p::SDCEGCGT, cchs2015_2016_p::SDCDGCGT, cchs2017_2018_p::SDCDGCGT, [SDCGCGT]",,,,,,,,,,,,
SDCGCGT_cat2,indermediate,Dummy variable for ethnicity: Non-white,Dummy variable for ethnicity: Non-white,Sociodemographics,Ethnicity,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_i, cchs2005_i,  cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[SDCGCGT],,"dummy[2, 1]",,,,,,,,,,
SDCGCGT_cat2_C,predictor,Centered dummy ethnicity variable: Non-white,Centered dummy ethnicity variable: Non-white,Sociodemographics,Ethnicity,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_i, cchs2005_i,  cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[SDCGCGT],,"center[SDCGCGT, mean]",,,,,,,,,,
SMK_01A,intermediate,,"In lifetime, smoked 100 or more cigarettes",Health behaviour,Smoking,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2005_i,  cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, [SMK_01A]",,,,,,,,,,,,
SMK_05B,intermediate,cigdayo,# of cigarettes smoked daily - occasional smoker,Health behaviour,Smoking,Continuous,cigarettes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::SMKA_05B, cchs2003_p::SMKC_05B, cchs2005_p::SMKE_05B, cchs2015_2016_p::SMK_050, cchs2017_2018_p::SMK_050, cchs2015_2016_i::SMK_050, cchs2017_2018_i::SMK_050, [SMK_05B]",,,,,,,,,,,,
SMK_05C,intermediate,Number of days - smoked 1 cigarette or more (occ. smoker),"In the past month, on how many days have you smoked 1 or more cigarettes?",Health behaviour,Smoking,Continuous,days,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKA_05C, cchs2003_p::SMKC_05C, cchs2005_p::SMKE_05C, cchs2015_2016_p::SMK_055, cchs2017_2018_p::SMK_055, [SMK_05C]",,,,,,,,,,,,
SMK_09A_B,intermediate,stpd,When did you stop smoking daily - former daily,Health behaviour,Smoking,Categorical,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2003_p::SMKC_09A, cchs2005_p::SMKE_09A, cchs2015_2016_p::SMK_080, cchs2017_2018_p::SMK_080, [SMK_09A]",,,,,,,,,,,,
SMK_204,intermediate,cigdayd,# of cigarettes smoked daily - daily smoker,Health behaviour,Smoking,Continuous,cigarettes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::SMKA_204, cchs2003_p::SMKC_204, cchs2005_p::SMKE_204, cchs2015_2016_p::SMK_045, cchs2017_2018_p::SMK_045, [SMK_204]",,,,,,,,,,,,
SMK_208,intermediate,# of cigarettes smoke each day - former daily,# of cigarettes smoked each day - former daily smoker,Health behaviour,Smoking,Continuous,cigarettes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKA_208, cchs2003_p::SMKC_208, cchs2005_p::SMKE_208, [SMK_208]",,,,,,,,,,,,
SMKDSTY,intermediate,Smoking status,"Type of smoker: daily, occasional, former daily, former occasional, never",Health behaviour,Smoking,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, [SMKDSTY]","Re-categorization of SMKDSTY to be used for smoking imputation. SMKDSTY_cat5 is a 5 category variable for smoking status for cycles up to 2018. Prior to 2015, 'occasional' and 'always occasional' are combined to form the current 'occasional' category. 2015 onwards, 'former occasional' and 'experimental' are combined to form the current 'former occasional' category",,,,,,,,,,,
SMKG09C,intermediate,stpdy,Years since stopped smoking daily - former daily,Health behaviour,Smoking,Categorical,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2003_p::SMKCG09C, cchs2005_p::SMKEG09C, cchs2015_2016_p::SMKG090, cchs2017_2018_p::SMKG090, cchs2009_s::SMK_09C, cchs2010_s::SMK_09C, cchs2012_s::SMK_09C, [SMKG09C]",,,,,,,,,,,,
SMKG203_cont,intermediate,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203, cchs2005_p::SMKEG203, cchs2009_s::SMK_203, cchs2010_s::SMK_203, cchs2012_s::SMK_203, [SMKG203], DerivedVar::[SMK_005, SMKG040]",,,,,,,,,,,,
SMK207,intermediate,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207, cchs2005_p::SMKEG207, cchs2009_s::SMK_207, cchs2010_s::SMK_207, cchs2012_s::SMK_207, [SMKG207], DerivedVar::[SMK_030, SMKG040]",,,,,,,,,,,,
smoke_simple,predictor,Simple smoking status,Simple smoking status,Health behaviour,Smoking,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs2017_2018i","DerivedVar::[SMKDSTY_cat5, time_quit_smoking]",,,,,,,,,,,,
time_quit_smoking,intermediate,Time since quit,Time since quit smoking,Health behaviour,Smoking,Continuous,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs2017_2018i","DerivedVar::[SMK_09A_B, SMKG09C]",,,,,,,,,,,,
SurveyCycle,"intermediate, imputation-variable",Survey Year,Survey Year,Design,Survey Cycle,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[data_name],,,,,,,,,,,,
SurveyCycle_cat1,intermediate,Dummied survey year: 2013-2014,Dummied survey year: 2013-2015,Design,Survey Cycle,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[SurveyCycle],,"dummy[1, 3]",,,,,,,,,,
SurveyCycle_cat2,intermediate,Dummied survey year: 2015-2016,Dummied survey year: 2015-2017,Design,Survey Cycle,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[SurveyCycle],,"dummy[1, 3]",,,,,,,,,,
SurveyCycle_cat1_C,predictor,Cnetered Dummied survey year: 2013-2014,Cnetered Dummied survey year: 2013-2015,Design,Survey Cycle,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[SurveyCycle_cat1],,center[SurveyCycle_cat1],,,,,,,,,,
SurveyCycle_cat2_C,predictor,Centered Dummied survey year: 2015-2016,Centered Dummied survey year: 2015-2017,Design,Survey Cycle,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[SurveyCycle_cat2],,center[SurveyCycle_cat2],,,,,,,,,,
WTS_L,Linked Weights,Linked Weights,Linked Weights,N/A,N/A,Continuous,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2001_p::WTSAM, cchs2003_p::WTSC_i, cchs2005_p::WTSE_i, [WTS_i]",,,,,,,,,,,,
WTS_S,Shared Weights,,,,,,,,,,,,,,,,,,,,
IKN,Linkage and ID Number,ICES Knowledge Number,ICES Knowledge Number,N/A,N/A,Continuous,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m",[IKN],internal ICES number derived using scrambled OHIP number. Used to link survey participants to adminstrative databases for outcome ascertainment,,,,,,,,,,,
